
Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t7,4-8,2,--3,5(2-2) B*BCCX,R,WSN,C. Robinson,E. Araujo,-3%,93%,Single to LF (Line Drive to Short LF-CF); Taylor Scores
,,,,,,,,,Ken Giles replaces Cody Asche (LF) pitching and batting 6thBen Revere replaces Elvis Araujo (P) playing LF batting 9th,Ken Giles replaces Cody Asche (LF) pitching and batting 6thBen Revere replaces Elvis Araujo (P) playing LF batting 9th,Ken Giles replaces Cody Asche (LF) pitching and batting 6thBen Revere replaces Elvis Araujo (P) playing LF batting 9th
t7,5-8,2,1--,6(3-2) ..BFBBF&gt;B,,WSN,I. Desmond,K. Giles,-2%,91%,Walk; Robinson to 2B
t7,5-8,2,12-,6(2-2) FFBBFX,O,WSN,J. Lobaton,K. Giles,4%,95%,Groundout: SS-1B (SS-2B)
,,,,,,,,,1 run 2 hits 0 errors 2 LOB. Nationals 5 Phillies 8.,1 run 2 hits 0 errors 2 LOB. Nationals 5 Phillies 8.,1 run 2 hits 0 errors 2 LOB. Nationals 5 Phillies 8.
Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1,Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1,Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1,Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1,Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1,Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1,Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1,Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1,Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1,Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1,Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1,Bottom of the 7th Phillies Batting Ahead 8-5 Nationals' Blake Treinen facing 8-9-1
b7,8-5,0,---,2(0-1) CX,O,PHI,A. Blanco,B. Treinen,-0%,95%,Popfly: 2B (Deep 2B)
b7,8-5,1,---,1(0-0) X,O,PHI,B. Revere,B. Treinen,-0%,94%,Flyball: RF
b7,8-5,2,---,4(2-1) BSBX,O,PHI,O. Herrera,B. Treinen,-0%,94%,Groundout: P-1B (P's Left)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Nationals 5 Phillies 8.,0 runs 0 hits 0 errors 0 LOB. Nationals 5 Phillies 8.,0 runs 0 hits 0 errors 0 LOB. Nationals 5 Phillies 8.
Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9,Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9,Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9,Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9,Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9,Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9,Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9,Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9,Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9,Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9,Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9,Top of the 8th Nationals Batting Behind 5-8 Phillies' Ken Giles facing 7-8-9
t8,5-8,0,---,3(0-2) CTX,O,WSN,T. Moore,K. Giles,2%,96%,Lineout: CF (Deep CF)
t8,5-8,1,---,6(3-2) BBCCBS,O,WSN,M. den Dekker,K. Giles,1%,97%,Strikeout Swinging
,,,,,,,,,Emmanuel Burriss pinch hits for Blake Treinen (P) batting 9th,Emmanuel Burriss pinch hits for Blake Treinen (P) batting 9th,Emmanuel Burriss pinch hits for Blake Treinen (P) batting 9th
t8,5-8,2,---,3(0-2) .SSX,O,WSN,E. Burriss,K. Giles,1%,98%,Groundout: 2B-1B (2B-1B)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Nationals 5 Phillies 8.,0 runs 0 hits 0 errors 0 LOB. Nationals 5 Phillies 8.,0 runs 0 hits 0 errors 0 LOB. Nationals 5 Phillies 8.
Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4,Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4,Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4,Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4,Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4,Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4,Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4,Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4,Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4,Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4,Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4,Bottom of the 8th Phillies Batting Ahead 8-5 Nationals' Casey Janssen facing 2-3-4
,,,,,,,,,Casey Janssen replaces Emmanuel Burriss (PH) pitching and batting 9th,Casey Janssen replaces Emmanuel Burriss (PH) pitching and batting 9th,Casey Janssen replaces Emmanuel Burriss (PH) pitching and batting 9th
b8,8-5,0,---,1(0-0) .X,,PHI,C. Hernandez,C. Janssen,0%,98%,Single to RF (Ground Ball thru 2B-1B)
b8,8-5,0,1--,2(0-1) CX,O,PHI,M. Franco,C. Janssen,-0%,98%,Flyball: LF (Deep LF Line)
b8,8-5,1,1--,5(1-2) F1B&gt;FFX,O,PHI,D. Brown,C. Janssen,-0%,97%,Flyball: RF
b8,8-5,2,1--,3(0-2) SFX,O,PHI,D. Ruf,C. Janssen,-0%,97%,Groundout: 3B-2B/Forceout at 2B (Weak 3B)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Nationals 5 Phillies 8.,0 runs 1 hit 0 errors 1 LOB. Nationals 5 Phillies 8.,0 runs 1 hit 0 errors 1 LOB. Nationals 5 Phillies 8.
Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3,Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3,Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3,Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3,Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3,Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3,Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3,Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3,Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3,Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3,Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3,Top of the 9th Nationals Batting Behind 5-8 Phillies' Jonathan Papelbon facing 1-2-3
,,,,,,,,,Jonathan Papelbon replaces Domonic Brown (RF) pitching and batting 4thJeff Francoeur replaces Ken Giles (P) playing RF batting 6th,Jonathan Papelbon replaces Domonic Brown (RF) pitching and batting 4thJeff Francoeur replaces Ken Giles (P) playing RF batting 6th,Jonathan Papelbon replaces Domonic Brown (RF) pitching and batting 4thJeff Francoeur replaces Ken Giles (P) playing RF batting 6th
t9,5-8,0,---,1(0-0) ..X,O,WSN,M. Taylor,J. Papelbon,2%,99%,Foul Flyball: RF (RF Foul)
t9,5-8,1,---,6(3-2) BCBFBT,O,WSN,D. Espinosa,J. Papelbon,1%,100%,Strikeout Swinging
t9,5-8,2,---,1(0-0) X,,WSN,Y. Escobar,J. Papelbon,-1%,99%,Single to LF (Ground Ball thru SS-3B Hole)
t9,5-8,2,1--,1(0-0) &gt;C,,WSN,C. Robinson,J. Papelbon,-0%,99%,Defensive Indifference; Escobar to 2B
t9,5-8,2,-2-,7(3-2) &gt;C.BFFBBX,O,WSN,C. Robinson,J. Papelbon,1%,100%,Flyball: CF (Deep CF)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Nationals 5 Phillies 8.,0 runs 1 hit 0 errors 1 LOB. Nationals 5 Phillies 8.,0 runs 1 hit 0 errors 1 LOB. Nationals 5 Phillies 8.
