
Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1,Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1,Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1,Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1,Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1,Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1,Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1,Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1,Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1,Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1,Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1,Top of the 3rd Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 8-9-1
t3,0-4,0,---,2(0-1) CX,,WSN,M. den Dekker,S. Gonzalez,-3%,85%,Single to RF (Ground Ball thru 2B-1B)
t3,0-4,0,1--,3(1-0) BXX,O,WSN,T. Roark,S. Gonzalez,2%,87%,Bunt Groundout: 1B unassisted/Sacrifice (Weak 1B); den Dekker to 2B
t3,0-4,1,-2-,5(2-2) CCB*BS,O,WSN,M. Taylor,S. Gonzalez,2%,89%,Strikeout Swinging
t3,0-4,2,-2-,5(3-1) FBBBX,O,WSN,D. Espinosa,S. Gonzalez,2%,91%,Popfly: 2B (Deep 2B)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Nationals 0 Phillies 4.,0 runs 1 hit 0 errors 1 LOB. Nationals 0 Phillies 4.,0 runs 1 hit 0 errors 1 LOB. Nationals 0 Phillies 4.
Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 3rd Phillies Batting Ahead 4-0 Nationals' Tanner Roark facing 6-7-8
b3,4-0,0,---,6(3-2) CSBBBB,,PHI,C. Asche,T. Roark,1%,92%,Walk
b3,4-0,0,1--,5(0-2) SFFFX,O,PHI,C. Ruiz,T. Roark,-1%,91%,Lineout: CF (Deep CF)
b3,4-0,1,1--,1(0-0) X,OO,PHI,A. Blanco,T. Roark,-2%,89%,Ground Ball Double Play: 2B-SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Nationals 0 Phillies 4.,0 runs 0 hits 0 errors 0 LOB. Nationals 0 Phillies 4.,0 runs 0 hits 0 errors 0 LOB. Nationals 0 Phillies 4.
Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5,Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5,Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5,Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5,Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5,Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5,Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5,Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5,Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5,Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5,Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5,Top of the 4th Nationals Batting Behind 0-4 Phillies' Severino Gonzalez facing 3-4-5
t4,0-4,0,---,3(1-1) BCX,,WSN,Y. Escobar,S. Gonzalez,-4%,85%,Double to RF (Line Drive to Deep RF Line)
t4,0-4,0,-2-,3(1-1) BFX,R,WSN,C. Robinson,S. Gonzalez,-6%,80%,Single to LF (Ground Ball thru SS-3B Hole); Escobar Scores
t4,1-4,0,1--,7(2-2) 1FBSBFFX,RR,WSN,I. Desmond,S. Gonzalez,-16%,63%,Home Run (Line Drive to Deep LF-CF); Robinson Scores
t4,3-4,0,---,6(3-2) SBCBBX,,WSN,J. Lobaton,S. Gonzalez,-5%,59%,Single to P (Ground Ball)
t4,3-4,0,1--,5(1-2) FSBFT,O,WSN,T. Moore,S. Gonzalez,4%,63%,Strikeout Swinging
t4,3-4,1,1--,5(3-1) B1BCBX,O,WSN,M. den Dekker,S. Gonzalez,4%,67%,Lineout: CF (Deep CF)
t4,3-4,2,1--,5(1-2) CSFBX,O,WSN,T. Roark,S. Gonzalez,3%,69%,Groundout: SS unassisted/Forceout at 2B
,,,,,,,,,3 runs 4 hits 0 errors 1 LOB. Nationals 3 Phillies 4.,3 runs 4 hits 0 errors 1 LOB. Nationals 3 Phillies 4.,3 runs 4 hits 0 errors 1 LOB. Nationals 3 Phillies 4.
Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2,Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2,Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2,Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2,Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2,Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2,Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2,Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2,Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2,Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2,Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2,Bottom of the 4th Phillies Batting Ahead 4-3 Nationals' Tanner Roark facing 9-1-2
b4,4-3,0,---,2(0-1) CX,,PHI,S. Gonzalez,T. Roark,3%,73%,Single to RF (Line Drive to Deep 2B-1B)
b4,4-3,0,1--,5(2-2) BSBCX,,PHI,O. Herrera,T. Roark,5%,78%,Single to RF (Line Drive to Short RF); Gonzalez to 2B
b4,4-3,0,12-,2(0-1) LX,O,PHI,C. Hernandez,T. Roark,0%,78%,Bunt Groundout: 3B-2B/Sacrifice (Front of Home); Gonzalez to 3B; Herrera to 2B
b4,4-3,1,-23,2(0-1) FX,RR,PHI,M. Franco,T. Roark,10%,88%,Single to CF (Ground Ball thru SS-2B); Gonzalez Scores; Herrera Scores
b4,6-3,1,1--,3(1-1) CBX,,PHI,D. Brown,T. Roark,1%,89%,Single to LF (Line Drive to Short LF-CF); Franco to 2B
b4,6-3,1,12-,4(2-1) BBF2X,R,PHI,D. Ruf,T. Roark,4%,93%,Single to LF (Ground Ball thru SS-3B Hole); Franco Scores; Brown to 2B
,,,,,,,,,Felipe Rivero replaces Tanner Roark pitching and batting 9th,Felipe Rivero replaces Tanner Roark pitching and batting 9th,Felipe Rivero replaces Tanner Roark pitching and batting 9th
b4,7-3,1,12-,6(2-2) .*BBFFFX,,PHI,C. Asche,F. Rivero,2%,95%,Single to LF (Line Drive to Deep SS); Brown to 3B; Ruf to 2B
b4,7-3,1,123,6(3-2) FBBBFX,RO,PHI,C. Ruiz,F. Rivero,1%,96%,Flyball: CF/Sacrifice Fly (Deep CF); Brown Scores
b4,8-3,2,12-,7(2-2) CBBFFFX,O,PHI,A. Blanco,F. Rivero,-1%,95%,Lineout: CF (Deep CF)
,,,,,,,,,4 runs 6 hits 0 errors 2 LOB. Nationals 3 Phillies 8.,4 runs 6 hits 0 errors 2 LOB. Nationals 3 Phillies 8.,4 runs 6 hits 0 errors 2 LOB. Nationals 3 Phillies 8.
Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3,Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3,Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3,Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3,Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3,Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3,Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3,Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3,Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3,Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3,Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3,Top of the 5th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 1-2-3
t5,3-8,0,---,5(2-2) BBFCS,O,WSN,M. Taylor,S. Gonzalez,1%,96%,Strikeout Swinging
t5,3-8,1,---,7(2-2) FBFFFBT,O,WSN,D. Espinosa,S. Gonzalez,1%,96%,Strikeout Swinging
t5,3-8,2,---,5(2-2) BBFCX,,WSN,Y. Escobar,S. Gonzalez,-1%,96%,Reached on E5 (Ground Ball to SS-3B Hole)
t5,3-8,2,1--,4(1-2) CCBS,O,WSN,C. Robinson,S. Gonzalez,1%,97%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 1 error 1 LOB. Nationals 3 Phillies 8.,0 runs 0 hits 1 error 1 LOB. Nationals 3 Phillies 8.,0 runs 0 hits 1 error 1 LOB. Nationals 3 Phillies 8.
Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2,Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2,Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2,Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2,Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2,Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2,Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2,Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2,Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2,Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2,Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2,Bottom of the 5th Phillies Batting Ahead 8-3 Nationals' Felipe Rivero facing 9-1-2
b5,8-3,0,---,3(0-2) CSS,O,PHI,S. Gonzalez,F. Rivero,-0%,97%,Strikeout Swinging
b5,8-3,1,---,4(1-2) BFFX,,PHI,O. Herrera,F. Rivero,0%,97%,Single to RF (Ground Ball)
b5,8-3,1,1--,2(0-1) CX,,PHI,C. Hernandez,F. Rivero,0%,97%,Single to CF (Ground Ball thru SS-2B); Herrera to 2B
b5,8-3,1,12-,6(2-2) CBCF*BS,O,PHI,M. Franco,F. Rivero,-0%,97%,Strikeout Swinging Wild Pitch; Herrera to 3B; Hernandez to 2B
b5,8-3,2,-23,1(0-0) X,O,PHI,D. Brown,F. Rivero,-1%,96%,Groundout: 2B-1B (2B-1B)
,,,,,,,,,0 runs 2 hits 0 errors 2 LOB. Nationals 3 Phillies 8.,0 runs 2 hits 0 errors 2 LOB. Nationals 3 Phillies 8.,0 runs 2 hits 0 errors 2 LOB. Nationals 3 Phillies 8.
