
Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3
t3,0-3,0,1--,1(0-0) X,O,ATL,M. Wisler,D. Fister,2%,80%,Bunt Groundout: 1B-2B/Sacrifice (Short 1B Line); Ciriaco to 2B
t3,0-3,1,-2-,6(3-2) CB*BCBS,O,ATL,J. Peterson,D. Fister,3%,83%,Strikeout Swinging
t3,0-3,2,-2-,6(3-2) BBBCF*S,O,ATL,C. Maybin,D. Fister,3%,85%,Strikeout Swinging (C-1B)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 3.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 3.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 3.
Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4,Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4,Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4,Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4,Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4,Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4,Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4,Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4,Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4,Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4,Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4,Bottom of the 3rd Nationals Batting Ahead 3-0 Braves' Matt Wisler facing 2-3-4
b3,3-0,0,---,1(0-0) X,O,WSN,D. Espinosa,M. Wisler,-1%,84%,Flyball: CF (Deep CF)
b3,3-0,1,---,3(1-1) BFX,,WSN,Y. Escobar,M. Wisler,2%,86%,Double to CF (Line Drive to Deep CF)
b3,3-0,1,-2-,3(0-2) CC^X,R,WSN,C. Robinson,M. Wisler,4%,91%,Single to CF (Line Drive); Escobar Scores
b3,4-0,1,1--,5(2-2) BC*BFX,O,WSN,W. Ramos,M. Wisler,-1%,90%,Groundout: 2B-SS/Forceout at 2B (2B-1B)
b3,4-0,2,1--,4(1-2) CBFX,RR,WSN,I. Desmond,M. Wisler,6%,96%,Home Run (Fly Ball to Deep CF-RF); Ramos Scores
